A0A0A7EPL0	AT1G08910.1
A0A140JWM8	AT5G36110.1
A0A178U9T0	AT5G36907.1
A0A178UDM7	AT5G01305.1
A0A178UFC4	AT5G65613.1
A0A178UIE7	AT5G04090.6
A0A178ULY3	AT5G59865.1
A0A178UN75	AT3G57587.1
A0A178UQA6	AT5G65400.2
A0A178UQR8	AT5G50443.1
A0A178URU8	AT5G02140.1
A0A178UUY0	AT4G32000.3
A0A178UVL2	AT4G05030.2
A0A178UWL0	AT4G35140.2
A0A178UWM9	AT4G36925.2
A0A178UXH8	AT4G37550.5
A0A178UYZ3	AT4G12670.2
A0A178UZR1	AT4G01023.2
A0A178V119	AT4G16545.1
A0A178V165	AT4G19650.2
A0A178V266	AT4G13440.2
A0A178V3G1	AT4G03620.2
A0A178V490	AT4G27980.2
A0A178V5Q1	AT3G21305.1
A0A178V7N9	AT3G19080.4
A0A178V9P2	AT3G24463.1
A0A178VAW3	AT3G48980.2
A0A178VBH8	AT3G09240.3
A0A178VBJ0	AT3G51290.3
A0A178VE74	AT3G57740.2
A0A178VEK7	AT3G60460.1
A0A178VGJ3	AT3G19430.2
A0A178VGS0	AT3G13420.4
A0A178VI87	AT3G12940.2
A0A178VIK9	AT3G19085.2
A0A178VM33	AT3G02245.1
A0A178VM97	AT3G58415.2
A0A178VNT0	AT3G10455.1
A0A178VPF6	AT2G04360.2
A0A178VQ59	AT2G03720.2
A0A178VQ73	AT2G45940.2
A0A178VQE8	AT2G25297.2
A0A178VR03	AT2G23890.2
A0A178VTF4	AT2G41445.2
A0A178VUB9	AT2G27507.1
A0A178VWR3	AT2G01460.3
A0A178VY62	AT2G25320.3
A0A178VZV5	AT1G43000.2
A0A178W0K0	AT2G37020.3
A0A178W1I1	AT1G43040.2
A0A178W2N2	AT1G55775.1
A0A178W3E8	AT2G47410.5
A0A178W3G2	AT1G69070.2
A0A178W4U6	AT1G16225.2
A0A178W5Y7	AT1G16916.2
A0A178W7H0	AT1G75125.1
A0A178WDK9	AT1G07050.2
A0A178WF56	AT1G56060.2
A0A178WGK2	AT1G16290.2
A0A178WIC4	AT1G01190.2
A0A178WIZ5	AT1G80625.1
A0A178WKG1	AT1G78635.1
A0A1I9LL68	AT3G31560.1
A0A1I9LLB7	AT3G24575.1
A0A1I9LLC5	AT3G58050.2
A0A1I9LLC9	AT3G13240.2
A0A1I9LLD2	AT3G19920.2
A0A1I9LLD6	AT3G59340.4
A0A1I9LLE1	AT3G63255.1
A0A1I9LLJ2	AT3G49155.1
A0A1I9LLJ3	AT3G43610.2
A0A1I9LLJ8	AT3G04443.5
A0A1I9LLK9	AT3G24514.1
A0A1I9LLL7	AT3G47660.2
A0A1I9LLM0	AT3G49840.2
A0A1I9LLN1	AT3G05935.2
A0A1I9LLN7	AT3G26440.6
A0A1I9LLP0	AT3G12170.2
A0A1I9LLR3	AT3G42153.1
A0A1I9LLR6	AT3G09550.2
A0A1I9LLS2	AT3G46270.2
A0A1I9LLS7	AT3G01085.3
A0A1I9LLT6	AT3G61660.2
A0A1I9LLW8	AT3G15635.1
A0A1I9LLX4	AT3G29455.1
A0A1I9LLX9	AT3G63215.1
A0A1I9LM04	AT3G57060.3
A0A1I9LM22	AT3G07530.4
A0A1I9LM38	AT3G01920.2
A0A1I9LM43	AT3G10605.1
A0A1I9LM63	AT3G17655.1
A0A1I9LM76	AT3G16525.1
A0A1I9LM77	AT3G59300.3
A0A1I9LM80	AT3G23123.1
A0A1I9LM99	AT3G59570.3
A0A1I9LMB0	AT3G31925.1
A0A1I9LMD5	AT3G58760.5
A0A1I9LME3	AT3G05775.1
A0A1I9LMG4	AT3G48475.1
A0A1I9LMG5	AT3G48470.2
A0A1I9LMH3	AT3G18900.4
A0A1I9LMM7	AT3G28956.8
A0A1I9LMN9	AT3G55870.3
A0A1I9LMS4	AT3G59435.1
A0A1I9LMU1	AT3G44555.1
A0A1I9LMX5	AT3G50610.2
A0A1I9LMY1	AT3G26140.3
A0A1I9LMZ0	AT3G05035.3
A0A1I9LMZ8	AT3G43503.1
A0A1I9LN01	AT3G55850.5
A0A1I9LN07	AT3G42075.1
A0A1I9LN10	AT3G43837.1
A0A1I9LN13	AT3G58720.3
A0A1I9LN21	AT3G60450.2
A0A1I9LN39	AT3G21473.1
A0A1I9LN71	AT3G46190.2
A0A1I9LN82	AT3G46920.2
A0A1I9LN87	AT3G06880.4
A0A1I9LN94	AT3G06770.5
A0A1I9LN98	AT3G54780.4
A0A1I9LNA0	AT3G06085.1
A0A1I9LNA3	AT3G02255.1
A0A1I9LNE1	AT3G45645.1
A0A1I9LNF2	AT3G07255.1
A0A1I9LNG5	AT3G27270.2
A0A1I9LNG9	AT3G13437.2
A0A1I9LNH2	AT3G30305.1
A0A1I9LNH5	AT3G10527.1
A0A1I9LNH8	AT3G62180.2
A0A1I9LNI3	AT3G44703.3
A0A1I9LNK8	AT3G32420.1
A0A1I9LNN0	AT3G50590.2
A0A1I9LNS3	AT3G09055.1
A0A1I9LNT0	AT3G18775.1
A0A1I9LNT1	AT3G14640.2
A0A1I9LNT8	AT3G19552.1
A0A1I9LNU8	AT3G49045.1
A0A1I9LNX5	AT3G53680.2
A0A1I9LNY2	AT3G28875.1
A0A1I9LNY7	AT3G25493.1
A0A1I9LNZ2	AT3G22565.2
A0A1I9LP11	AT3G03776.2
A0A1I9LP47	AT3G53540.2
A0A1I9LP53	AT3G01130.5
A0A1I9LP67	AT3G46845.1
A0A1I9LP79	AT3G19613.1
A0A1I9LPC5	AT3G04980.3
A0A1I9LPE3	AT3G08840.7
A0A1I9LPF9	AT3G28335.1
A0A1I9LPG0	AT3G44763.1
A0A1I9LPG1	AT3G44766.1
A0A1I9LPG2	AT3G44769.1
A0A1I9LPH3	AT3G29173.1
A0A1I9LPI9	AT3G26355.1
A0A1I9LPK7	AT3G26512.1
A0A1I9LPL8	AT3G28785.1
A0A1I9LPM3	AT3G44405.4
A0A1I9LPN2	AT3G48205.2
A0A1I9LPP6	AT3G30525.1
A0A1I9LPQ3	AT3G13075.1
A0A1I9LPS6	AT3G25880.2
A0A1I9LPT9	AT3G46500.5
A0A1I9LPU6	AT3G06630.2
A0A1I9LPV1	AT3G59295.1
A0A1I9LPW0	AT3G17765.1
A0A1I9LPW1	AT3G21825.1
A0A1I9LPW4	AT3G04490.3
A0A1I9LPW5	AT3G30460.2
A0A1I9LPX1	AT3G01710.3
A0A1I9LPY2	AT3G53075.2
A0A1I9LPY5	AT3G28370.5
A0A1I9LPY7	AT3G17227.1
A0A1I9LPZ1	AT3G50370.2
A0A1I9LQ11	AT3G26395.1
A0A1I9LQ12	AT3G43850.2
A0A1I9LQ20	AT3G62500.2
A0A1I9LQ21	AT3G01380.2
A0A1I9LQ26	AT3G13910.2
A0A1I9LQ28	AT3G61410.3
A0A1I9LQ30	AT3G06436.1
A0A1I9LQ51	AT3G56250.3
A0A1I9LQ53	AT3G50230.2
A0A1I9LQ57	AT3G59330.3
A0A1I9LQ59	AT3G26237.1
A0A1I9LQ65	AT3G50380.2
A0A1I9LQ80	AT3G43415.1
A0A1I9LQ91	AT3G02673.1
A0A1I9LQ93	AT3G02677.1
A0A1I9LQA1	AT3G07510.3
A0A1I9LQA9	AT3G46735.1
A0A1I9LQC5	AT3G58875.1
A0A1I9LQF0	AT3G53250.2
A0A1I9LQF4	AT3G61480.2
A0A1I9LQF6	AT3G21590.3
A0A1I9LQG9	AT3G29280.2
A0A1I9LQI3	AT3G31550.1
A0A1I9LQJ5	AT3G54065.1
A0A1I9LQK5	AT3G21100.4
A0A1I9LQL8	AT3G44665.1
A0A1I9LQL9	AT3G57787.1
A0A1I9LQM1	AT3G44485.1
A0A1I9LQM2	AT3G58585.1
A0A1I9LQM4	AT3G27640.2
A0A1I9LQN4	AT3G43970.2
A0A1I9LQP1	AT3G59245.1
A0A1I9LQT8	AT3G12833.1
A0A1I9LQU9	AT3G24750.2
A0A1I9LQW3	AT3G55513.1
A0A1I9LQW5	AT3G42995.1
A0A1I9LQW7	AT3G62615.1
A0A1I9LQX3	AT3G48835.1
A0A1I9LQX6	AT3G29631.1
A0A1I9LQX8	AT3G43645.1
A0A1I9LQY5	AT3G29637.2
A0A1I9LQY7	AT3G56570.2
A0A1I9LQZ6	AT3G51360.9
A0A1I9LR11	AT3G57465.1
A0A1I9LR33	AT3G54750.4
A0A1I9LR82	AT3G02820.2
A0A1I9LR96	AT3G49890.2
A0A1I9LRC2	AT3G53630.2
A0A1I9LRC4	AT3G30823.1
A0A1I9LRC5	AT3G18915.1
A0A1I9LRE7	AT3G21165.1
A0A1I9LRJ4	AT3G23910.2
A0A1I9LRJ5	AT3G46565.1
A0A1I9LRK9	AT3G21405.1
A0A1I9LRR3	AT3G60975.1
A0A1I9LRR4	AT3G27495.1
A0A1I9LRT2	AT3G30165.1
A0A1I9LRU1	AT3G42850.2
A0A1I9LRY8	AT3G62695.1
A0A1I9LRZ5	AT3G28635.1
A0A1I9LRZ7	AT3G48343.1
A0A1I9LS19	AT3G46617.1
A0A1I9LS40	AT3G14170.2
A0A1I9LS57	AT3G52526.2
A0A1I9LS65	AT3G26135.1
A0A1I9LS70	AT3G46930.2
A0A1I9LS97	AT3G61270.1
A0A1I9LS99	AT3G28922.1
A0A1I9LSA3	AT3G22120.2
A0A1I9LSA7	AT3G22125.3
A0A1I9LSB3	AT3G44265.1
A0A1I9LSC0	AT3G07030.5
A0A1I9LSE2	AT3G27185.1
A0A1I9LSE8	AT3G09080.3
A0A1I9LSH2	AT3G62360.2
A0A1I9LSH4	AT3G02500.3
A0A1I9LSK1	AT3G01415.1
A0A1I9LSM5	AT3G27475.2
A0A1I9LSN5	AT3G53830.3
A0A1I9LSP4	AT3G21950.2
A0A1I9LSQ8	AT3G25012.1
A0A1I9LSS0	AT3G26930.2
A0A1I9LSS3	AT3G02030.2
A0A1I9LST5	AT3G44635.1
A0A1I9LSU7	AT3G51940.2
A0A1I9LSV6	AT3G19565.1
A0A1I9LT04	AT3G17717.1
A0A1I9LT05	AT3G44695.1
A0A1I9LT08	AT3G44960.2
A0A1I9LT28	AT3G30739.1
A0A1I9LT34	AT3G44753.1
A0A1I9LT45	AT3G32380.1
A0A1I9LT65	AT3G14467.1
A0A1I9LT67	AT3G14463.1
A0A1I9LT75	AT3G05365.3
A0A1I9LT82	AT3G29794.1
A0A1I9LT92	AT3G22085.1
A0A1I9LT96	AT3G22337.1
A0A1I9LT98	AT3G22333.1
A0A1I9LTA1	AT3G48060.2
A0A1I9LTB9	AT3G13276.1
A0A1I9LTC6	AT3G01475.1
A0A1I9LTC7	AT3G21500.3
A0A1I9LTD7	AT3G25505.1
A0A1I9LTE5	AT3G02975.1
A0A1I9LTJ3	AT3G57980.2
A0A1I9LTK0	AT3G44435.1
A0A1I9LTL1	AT3G14630.2
A0A1I9LTN0	AT3G50570.2
A0A1I9LTN3	AT3G11325.2
A0A1I9LTP0	AT3G62510.2
A0A1I9LTP1	AT3G23270.2
A0A1I9LTQ8	AT3G52075.1
A0A1I9LTS6	AT3G23640.3
A0A1I9LTS9	AT3G29645.1
A0A1I9LTT1	AT3G46355.1
A0A1I9LTT2	AT3G63093.1
A0A1I9LTU3	AT3G48187.1
A0A1I9LTU6	AT3G55935.1
A0A1I9LTW1	AT3G54390.2
A0A1P8AM63	AT1G39060.1
A0A1P8AM70	AT1G23720.2
A0A1P8AM75	AT1G11591.1
A0A1P8AM80	AT1G01715.2
A0A1P8AM83	AT1G27535.1
A0A1P8AMD1	AT1G05005.1
A0A1P8AME0	AT1G13830.2
A0A1P8AME6	AT1G10875.1
A0A1P8AME8	AT1G56680.2
A0A1P8AMH3	AT1G18180.1
A0A1P8AML6	AT1G23700.3
A0A1P8AMN4	AT1G44030.2
A0A1P8AMP1	AT1G66450.2
A0A1P8AMQ1	AT1G48090.2
A0A1P8AMQ7	AT1G23915.1
A0A1P8AMV0	AT1G72275.1
A0A1P8AMW4	AT1G59460.1
A0A1P8AMZ0	AT1G73840.1
A0A1P8AMZ2	AT1G17300.2
A0A1P8AN25	AT1G53340.2
A0A1P8AN26	AT1G04895.1
A0A1P8AN40	AT1G47657.1
A0A1P8AN44	AT1G65110.2
A0A1P8AN57	AT1G34403.1
A0A1P8AN84	AT1G65735.1
A0A1P8AN89	AT1G79103.1
A0A1P8ANA9	AT1G70175.1
A0A1P8ANB3	AT1G64010.2
A0A1P8ANB5	AT1G28080.2
A0A1P8ANB8	AT1G20683.1
A0A1P8ANC1	AT1G20687.1
A0A1P8ANE2	AT1G56418.2
A0A1P8ANE6	AT1G05035.1
A0A1P8ANH9	AT1G29740.2
A0A1P8ANJ1	AT1G65490.2
A0A1P8ANJ8	AT1G52603.1
A0A1P8ANK5	AT1G10395.1
A0A1P8ANL4	AT1G68937.1
A0A1P8ANN9	AT1G55803.1
A0A1P8ANP5	AT1G75150.3
A0A1P8ANQ6	AT1G33230.2
A0A1P8ANS6	AT1G29005.1
A0A1P8ANS8	AT1G80525.1
A0A1P8ANT2	AT1G53655.1
A0A1P8ANT6	AT1G35183.3
A0A1P8ANT8	AT1G79485.1
