query	subject	tmscore	seq_id	rmsd	aligned_length
Q8H1F0	Q8H1F0	1.0	1.0	0.0	547.0
A0A3Q7EJE0	P0DPE2	0.78308	0.245	2.4	106.0
Q9S850	Q9S850	1.0	1.0	0.0	393.0
F6HW27	Q9ZPY9	0.59842	0.314	3.78	118.0
Q3ECY6	Q3ECY6	1.0	1.0	0.0	558.0
P0DKC5	P0DKC5	1.0	1.0	0.0	349.0
Q84VG6	Q84VG6	1.0	1.0	0.0	626.0
Q9FH95	Q9FH95	1.0	1.0	0.0	352.0
A0A2R6RE30	Q9C5U0	0.67345	0.721	4.61	251.0
F4JUQ2	F4JUQ2	1.0	1.0	0.0	920.0
A0A0R0F8U3	F4KHQ8	0.90237	0.581	2.44	346.0
A0A7J7GV87	F4JT76	0.43287	0.39	5.85	213.0
F4J1Q9	F4J1Q9	1.0	1.0	0.0	405.0
U5DAH3	Q38907	0.88332	0.66	1.48	97.0
A0A0N7KUG0	Q6Q1P4	0.36734	0.617	3.99	256.0
K7LK12	Q9LMM6	0.75417	0.156	3.67	289.0
A9QM73	A9QM73	1.0	1.0	0.0	1059.0
K7LD21	Q08891	0.87248	0.721	1.85	179.0
Q9C7J8	Q9SZJ2	0.67234	0.196	4.59	592.0
Q1PFK5	Q8W119	0.32439	0.258	3.95	89.0
A0A2P5YQS2	Q60EW9	0.4523	0.638	3.22	561.0
Q9CAJ8	Q9XF92	0.64036	0.43	3.87	142.0
B7F9A6	Q93V66	0.42527	0.426	3.83	129.0
F4JMX1	Q39048	0.78266	0.192	3.12	407.0
F6HKW4	Q5JTH9	0.60347	0.199	4.27	306.0
Q8LBH4	Q8LBH4	1.0	1.0	0.0	256.0
Q84Y18	Q84Y18	1.0	1.0	0.0	332.0
Q6JB14	Q6JB14	1.0	1.0	0.0	88.0
A0A6I9TBU4	Q9S7H4	0.92896	0.59	1.84	256.0
A0A2P5XW00	Q9XG98	0.50694	0.774	2.64	93.0
Q3E7K7	Q3E7K7	1.0	1.0	0.0	332.0
Q9FMA6	Q9FMA8	0.9669	0.721	1.12	222.0
Q9XI91	Q9XI91	1.0	1.0	0.0	158.0
A0A199VUA5	B1B1U3	0.98723	0.559	0.71	279.0
W1PUW8	Q25AG2	0.85431	0.39	2.98	400.0
A0A2R6Q211	Q54KI0	0.37874	0.293	3.53	99.0
Q9C6D2	Q9C6D2	1.0	1.0	0.0	420.0
Q8VY74	Q8VY74	1.0	1.0	0.0	333.0
I1JP54	Q2QKL5	0.90805	0.812	2.1	478.0
A0A498IY44	O65468	0.79631	0.458	1.8	107.0
O22854	O22854	1.0	1.0	0.0	633.0
Q6H7I0	F4K4L7	0.26856	0.394	6.84	269.0
Q84Y95	Q84Y95	1.0	1.0	0.0	173.0
K7TEC7	Q9LQX2	0.40082	0.29	3.93	100.0
Q9SK53	Q9SK53	1.0	1.0	0.0	294.0
A0A804KJS7	Q9ZUD9	0.43895	0.307	2.6	218.0
Q9SCQ2	Q9SCQ2	1.0	1.0	0.0	1142.0
Q9CAF9	Q9CAF9	1.0	1.0	0.0	184.0
A0A0P0VP63	Q8S9J2	0.88016	0.471	2.47	346.0
A0A2R6QMZ1	Q9VBP9	0.3692	0.149	4.04	101.0
Q84JZ7	P0DH78	0.29016	0.216	3.15	88.0
W1PM00	U3THC0	0.70559	0.374	2.71	99.0
A0A0N7KLV1	Q9FGY4	0.73169	0.125	3.38	200.0
A0A0R0KIY3	Q75HY5	0.8475	0.318	2.98	506.0
A0A498HXT8	Q6PR54	0.82712	0.208	2.89	307.0
A0A498I8L6	P52855	0.76582	0.679	0.96	56.0
P50287	P50287	1.0	1.0	0.0	315.0
Q8L638	Q8L638	1.0	1.0	0.0	509.0
Q9FJZ7	A7M6E7	0.64576	0.574	4.81	564.0
A0A2R6P3V1	P43394	0.97145	0.659	0.8	135.0
F4K1A8	Q0JP11	0.3318	0.536	2.83	56.0
F4IZV9	Q93YV9	0.51135	0.196	2.89	143.0
A0A804NHC4	P15396	0.67529	0.377	2.8	175.0
Q27IK7	Q27IK7	1.0	1.0	0.0	2066.0
I1LJN8	Q04088	0.57874	0.601	4.83	281.0
F4IJJ8	Q6C7Q6	0.79727	0.268	2.51	803.0
A0A498KC68	Q9LDH0	0.87893	0.641	2.29	471.0
I1L9V5	Q8VZ02	0.29163	0.71	4.29	124.0
Q9LXR9	Q9LXR9	1.0	1.0	0.0	348.0
A0A0Q3HH61	Q7SBU6	0.12134	0.091	9.55	232.0
W1PJ09	P97357	0.55308	0.133	4.11	391.0
A0A804KC10	P51567	0.9669	0.729	1.1	214.0
A0A7J7G838	Q9LXZ3	0.28402	0.152	3.43	210.0
D7T2U2	Q7F9K4	0.77896	0.475	2.13	80.0
G9IB77	P60131	0.91256	0.974	0.66	38.0
A0A0Q3EXZ7	Q00531	0.7238	0.15	3.57	246.0
A0A804JYW4	Q9SSC7	0.75306	0.318	2.6	176.0
A0A0R0HRZ7	Q94HW2	0.78054	0.219	1.28	96.0
Q9C7N2	Q9C7N2	1.0	1.0	0.0	561.0
O23715	O23715	1.0	1.0	0.0	249.0
